Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2022-01-24 17:11:39,US09075V1026,BNTX,"BioNTech",0.0492171000,137.70,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239356,0.01,"EUR"
Market buy,2022-01-24 17:11:41,CA7063271034,PBA,"Pembina Pipeline",0.1521500000,29.67,USD,1.13140,,"EUR",4.00,"EUR",,,,,,,,EOF1762239364,0.01,"EUR"
Market buy,2022-01-24 17:11:41,US69608A1088,PLTR,"Palantir",0.5719150000,11.85,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239368,0.01,"EUR"
Market buy,2022-01-24 17:11:42,US5533681012,MP,"MP Materials",0.1858800000,36.46,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239372,0.01,"EUR"
Market buy,2022-01-24 17:11:44,CA87971M1032,TU,"TELUS",0.2967250000,22.84,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239380,0.01,"EUR"
Market buy,2022-01-24 17:11:44,US83406F1021,SOFI,"SoFi Technologies",0.3771340000,11.97,USD,1.13140,,"EUR",4.00,"EUR",,,,,,,,EOF1762239383,0.01,"EUR"
Market buy,2022-01-24 17:11:48,CA89788C1041,TCNNF,"Trulieve Cannabis",0.3491600000,19.41,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239397,0.01,"EUR"
Market buy,2022-01-24 17:11:51,CA2926717083,UUUU,"Energy Fuels",1.1848200000,5.72,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239420,0.01,"EUR"
Market buy,2022-01-24 17:11:51,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.1154150000,58.72,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239417,0.01,"EUR"
Market buy,2022-01-24 17:11:52,US26853E1029,EH,"EHang",0.2933260000,15.39,USD,1.13140,,"EUR",4.00,"EUR",,,,,,,,EOF1762239423,0.01,"EUR"
Market buy,2022-01-24 17:12:35,US25058X3035,DM,"Desktop Metal",1.3597200000,3.32,USD,1.13139,,"EUR",4.00,"EUR",,,,,,,,EOF1762239515,0.01,"EUR"
Market buy,2022-01-24 17:12:37,US6549022043,NOK,"Nokia",1.2811300000,5.29,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762239524,0.01,"EUR"
Deposit,2022-01-24 17:14:02,,,,,,,,,,120.00,"EUR",,,120.84,"EUR",-0.84,"EUR","Transaction ID: 1349430444417370",bb8e41a6-a11d-444f-88d8-583b7c6ebfc2,,
Market buy,2022-01-24 17:14:07,NL0015000F41,LILM,"Lilium",0.9604800000,4.70,USD,1.13139,,"EUR",4.00,"EUR",,,,,,,,EOF1762239720,0.01,"EUR"
Market buy,2022-01-24 17:15:28,US69608A1088,PLTR,"Palantir",3.5000000000,11.79,USD,1.13147,,"EUR",36.52,"EUR",,,,,,,,EOF1762239905,0.05,"EUR"
Market buy,2022-01-24 17:17:53,CA4433003064,HEOFF,"H2O Innovation",3.8726800000,1.75,USD,1.13141,,"EUR",6.00,"EUR",,,,,,,,EOF1762240652,0.01,"EUR"
Market buy,2022-01-25 08:00:32,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.3969450000,11.36,USD,1.13014,,"EUR",4.00,"EUR",,,,,,,,EOF1763226730,0.01,"EUR"
Market buy,2022-01-25 08:00:32,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.1879190000,60.08,USD,1.13014,,"EUR",10.00,"EUR",,,,,,,,EOF1763226760,0.01,"EUR"
Market buy,2022-01-25 08:00:33,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",2.2762700000,1.98,USD,1.13014,,"EUR",4.00,"EUR",,,,,,,,EOF1763226985,0.01,"EUR"
Market buy,2022-01-25 08:00:35,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",0.8815500000,2.56,USD,1.13014,,"EUR",2.00,"EUR",,,,,,,,EOF1763227700,,
Market buy,2022-01-25 08:00:35,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0319152000,141.29,USD,1.13015,,"EUR",4.00,"EUR",,,,,,,,EOF1763227637,0.01,"EUR"
Market buy,2022-01-25 08:04:11,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.5206970000,30.75,EUR,1.00000,,"EUR",16.01,"EUR",,,,,,,,EOF1763230109,,
Market buy,2022-01-25 08:04:24,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",1.6137400000,3.72,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230162,,
Market buy,2022-01-25 08:04:48,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0122604000,489.37,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230241,,
Market buy,2022-01-25 08:07:13,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.0429488000,157.62,USD,1.13014,,"EUR",6.00,"EUR",,,,,,,,EOF1763230610,0.01,"EUR"
Market buy,2022-01-25 08:07:13,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.0888870000,67.50,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230607,,
Market buy,2022-01-25 08:07:51,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.0490268000,122.38,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230682,,
Market buy,2022-01-25 08:07:54,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",0.1293170000,34.87,USD,1.13014,,"EUR",4.00,"EUR",,,,,,,,EOF1763230709,0.01,"EUR"
Market buy,2022-01-25 08:07:54,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",0.2392300000,25.08,EUR,1.00000,,"EUR",6.00,"EUR",,,,,,,,EOF1763230698,,
