Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-11-06 13:25:56.308,US3514713052,FOXO,"FOXO Technologies",,EOF23102014479,100.0000000000,0.32,USD,1.00000,,"USD",31.59,"USD",,,,,,,,
Market sell,2024-11-06 13:33:27.717,US3514713052,FOXO,"FOXO Technologies",,EOF23102015292,370.0000000000,0.30,USD,1.00000,-4.74,"USD",109.19,"USD",,,,,,,,
Limit buy,2024-11-06 13:56:20.064,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23102018003,22.0000000000,2.05,USD,1.00000,,"USD",45.10,"USD",,,,,,,,
Limit buy,2024-11-06 13:57:46.938,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23102018193,26.0000000000,1.95,USD,1.00000,,"USD",50.70,"USD",,,,,,,,
Market buy,2024-11-06 14:03:04.209,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23102018938,20.0000000000,1.85,USD,1.00000,,"USD",37.00,"USD",,,,,,,,
Market sell,2024-11-06 14:03:40.374,AU0000288284,VSTE,"Vast Solar",,EOF23102018986,9.0000000000,3.48,USD,1.00000,2.42,"USD",31.32,"USD",,,,,,,,
Market buy,2024-11-06 14:04:27.577,US98987D3008,ZVSA,"ZyVersa Therapeutics",,EOF23102019113,8.0000000000,1.90,USD,1.00000,,"USD",15.20,"USD",,,,,,,,
Limit sell,2024-11-06 14:25:45.103,US8523876048,STAF,"Staffing 360 Solutions",,EOF23102021310,22.0000000000,2.55,USD,1.00000,2.20,"USD",56.10,"USD",,,,,,,,
Market sell,2024-11-06 14:42:16.247,US3514713052,FOXO,"FOXO Technologies",,EOF23104664230,90.0000000000,0.35,USD,1.00000,3.70,"USD",31.41,"USD",,,,,,,,
Market buy,2024-11-06 14:46:42.562,US23285D1090,CTKB,"Cytek Biosciences",,EOF23104667027,14.0000000000,7.13,USD,1.00000,,"USD",99.82,"USD",,,,,,,,
Market buy,2024-11-06 14:57:01.215,US05368X1028,AVDX,"AvidXchange",,EOF23104673931,5.0000000000,9.51,USD,1.00000,,"USD",47.55,"USD",,,,,,,,
Market sell,2024-11-06 15:33:00.882,US05368X1028,AVDX,"AvidXchange",,EOF23104690176,5.0000000000,9.77,USD,1.00000,1.30,"USD",48.85,"USD",,,,,,,,
Market sell,2024-11-06 15:34:33.334,US23285D1090,CTKB,"Cytek Biosciences",,EOF23104690893,14.0000000000,6.87,USD,1.00000,-3.64,"USD",96.18,"USD",,,,,,,,
Market buy,2024-11-06 17:03:32.583,US35834F1049,FREY,"FREYR Battery",,EOF23106866027,110.0000000000,1.59,USD,1.00000,,"USD",174.90,"USD",,,,,,,,
Limit sell,2024-11-06 17:05:18.13,US35834F1049,FREY,"FREYR Battery",,EOF23106866293,110.0000000000,1.64,USD,1.00000,5.50,"USD",180.40,"USD",,,,,,,,
Market buy,2024-11-06 17:08:12.225,US21871N1019,CXW,"CoreCivic",,EOF23106866905,12.0000000000,18.19,USD,1.00000,,"USD",218.28,"USD",,,,,,,,
Market sell,2024-11-06 17:19:43.581,US21871N1019,CXW,"CoreCivic",,EOF23106868537,12.0000000000,18.09,USD,1.00000,-1.20,"USD",217.08,"USD",,,,,,,,
Market buy,2024-11-06 18:54:39.989,US83548R4020,SONN,"Sonnet BioTherapeutics",,EOF23106882127,44.0000000000,5.12,USD,1.00000,,"USD",225.28,"USD",,,,,,,,
Market buy,2024-11-06 19:10:19.656,US83548R4020,SONN,"Sonnet BioTherapeutics",,EOF23106884130,4.0000000000,4.90,USD,1.00000,,"USD",19.60,"USD",,,,,,,,
Interest on cash,2024-11-07 02:01:35.523,,,,"Interest on cash",534dd3b5-78d9-4d35-b9dc-026d67a36128,,,,,,,0.04,"USD",,,,,,,,
Lending interest,2024-11-07 02:07:49.712,,,,"Share lending interest",403f3e31-6640-4708-833c-2f89a96b1c6c,,,,,,,1.03,"EUR",,,,,,,,
Market sell,2024-11-07 14:34:32.678,US4581401001,INTC,"Intel",,EOF23151080231,30.0000000000,25.45,USD,1.00000,149.73,"USD",763.50,"USD",,,,,,,,
Market sell,2024-11-07 14:34:42.358,US4581401001,INTC,"Intel",,EOF23151080436,13.0000000000,25.44,USD,1.00000,64.76,"USD",330.72,"USD",,,,,,,,
Market buy,2024-11-07 15:16:37.575,US9043111072,UAA,"Under Armour (Class A)",,EOF23153503474,20.0000000000,11.36,USD,1.00000,,"USD",227.20,"USD",,,,,,,,
Market sell,2024-11-07 15:30:42.205,US9043111072,UAA,"Under Armour (Class A)",,EOF23153508963,0.9220000000,11.53,USD,1.00000,0.16,"USD",10.63,"USD",,,,,,,,
Market sell,2024-11-07 15:30:43.287,US9043111072,UAA,"Under Armour (Class A)",,EOF23153508982,19.0780000000,11.53,USD,1.00000,3.24,"USD",219.97,"USD",,,,,,,,
Market buy,2024-11-07 15:52:39.939,US63903P2092,NMHI,"Nature's Miracle California",,EOF23153515313,500.0000000000,0.35,USD,1.00000,,"USD",172.50,"USD",,,,,,,,
Market sell,2024-11-07 15:54:22.775,US63903P2092,NMHI,"Nature's Miracle California",,EOF23153515799,500.0000000000,0.32,USD,1.00000,-12.45,"USD",160.05,"USD",,,,,,,,
Limit sell,2024-11-07 15:58:44.562,US03945R1023,ACHR,"Archer Aviation",,EOF23153516951,100.0000000000,3.61,USD,1.00000,30.61,"USD",361.00,"USD",,,,,,,,
Market buy,2024-11-07 16:13:51.771,US83548R4020,SONN,"Sonnet BioTherapeutics",,EOF23153521166,20.0000000000,3.69,USD,1.00000,,"USD",73.80,"USD",,,,,,,,
Market buy,2024-11-07 16:14:56.422,US83548R4020,SONN,"Sonnet BioTherapeutics",,EOF23153521490,30.0000000000,3.72,USD,1.00000,,"USD",111.60,"USD",,,,,,,,
